file_name,transcript
0.wav,நாடகத்தின் வெற்றிக்கு நடிகர் திலகத்தின் இந்த ஆலோசனைகள் மிகவும் உபயோகமாக அமைந்தது எனலாம் என்கிறார் மகேந்திரன்
1.wav,என்ன ஒரு மண்டலம் மாறுபாடு மற்றும் நீங்கள் எப்படி ஒரு பெற
2.wav,எங்கள் பின்தங்கிய வாழ்க்கையில் எந்த இடமும் இல்லை என்று மிகவும் பிஸியாக
3.wav,செயல்முறை தொடங்கும் முன் நீங்கள் அருகிலுள்ள தூதரகம் அல்லது தூதரகத்தில் இரட்டை தேவைகளை சரிபார்க்கவும்
4.wav,இடைப்பாடி அருகே கோனேரிப்பட்டி நீர்மின் கதவணை பராமரிப்பால் மின் உற்பத்தி நிறுத்தம்
5.wav,காயலர்கள் உலகின் நாலாபாகங்களிலும் வாழக்கூடியதை பார்க்கும் பொழுது மன மகிழ்ச்சியாக உள்ளது
6.wav,இப்போது இந்த தீர்ப்பு எந்த வழிக்கில் கொடுக்கப்பட்டுள்ளது என்பதை விரிவாக பார்க்கலாம்
7.wav,இருப்பினும் ரஜினி கட்சி ஆரம்பித்த உடன் தான் இது குறித்த தகவல்கள் உறுதி செய்யப்படும் என்பது குறிப்பிடத்தக்கது
8.wav,புனித ஸ்தலங்களின் வாயிலில் அமர்ந்திருக்கும் பிச்சைக்காரர்களிடம் இரக்கம் காட்டாதவர்கள்தான் உள்ளே சென்று கடவுளிடம் இரக்கம் இல்லையா என்கின்றனர்
9.wav,மக்கள் தொகை வளர்ச்சி மற்றும் சூழ்நிலைக்கு இடையேயான செயலெதிர் பற்றிய ஆய்வு மற்றும் விவாதத்திற்கு ஒரு நீண்ட வரலாறு உள்ளது
10.wav,நாடாளுமனறத்தில் பேசுகையில் கூட என்ஆர்சி நாடு முழுவதும் கொண்டுவரப்படும் என்று அமித் ஷா பேசினார்
11.wav,திரு அஷோக் சஜ்ஜன்ஹர் அவர்களின் ஆங்கில உரையின் தமிழாக்கம் பி குருமூர்த்தி
12.wav,சினிமாவில் ஒரு சாதாரண மனிதன் மேலே வருவதைப்போலவெ கீழே போவதும் ஒருவகையான ஃபெயரிடேல் மாதிரிதான்
13.wav,இந்த ஆண்ட்ராய்டு இயக்கமுறைமையின் அடிப்படை திரையானது பார்வையாளர்களுக்கு ஆர்வமூட்டும் ஒரு அழகான பயனாளர் இடைமுகப்பை வழங்குகின்றது
14.wav,அது பின்னர் பிழை என விலக்கிக்கொள்ளப்பட்டதனால் சட்டபூர்வமாகவும் தண்டனை மறுபரிசீலனைக்குரியதாக ஆகிறது
15.wav,நிதி மோசடி குற்றச்சாட்டில் கைதுசெய்யப்பட்டு விளக்கமறியலில் வைக்கப்பட்ட நாடாளுமன்ற உறுப்பினர் நாமல் ராஜபக்ச இன்றைய
