file_name,transcript
0.wav,അതുകൊണ്ട് തന്നെ മറ്റുള്ളവരോട് ഇടപെടുമ്പോള് അവര് ഇങ്ങോട്ട് ഇടപെടണം എന്നാണ് ഇവര് ആഗ്രഹിക്കുന്നത്
1.wav,തങ്ങളുടെ നിലവിലെ ചിത്രവും പത്തു വര്ഷം മുന്പുള്ള ചിത്രവും സോഷ്യല് മീഡിയയില് പോസ്റ്റ് ചെയ്യുക എന്നതാണ് ഈ ചലഞ്ച്
2.wav,ദുരിതാശ്വാസ നിധിയിൽ ഇത്രയും പണം ഉണ്ടായിട്ടും പാവങ്ങൾക്ക് നല്കാന് എന്തുകൊണ്ടാണിത്ര വൈകുന്നതെന്ന് കെ സുരേന്ദ്രന്
3.wav,മൂന്നു വർഷത്തിലൊരിക്കൽ ഇത്രയും തന്നെ തുക അടച്ച് ഇത് പുതുക്കുകയും വേണം
4.wav,ഇന്ന് ഡൽഹിയിൽ ചേരുന്ന എൻഡിഎ യോഗത്തിൽ പാർലമെന്ററി പാർട്ടി നേതാവായി നരേന്ദ്ര മോദിയെ തെരഞ്ഞെടുക്കും
5.wav,അവളുടെ സെൽ ഫോൺ ഫോണിന്റെ ഉപയോഗം പഴയ മാർക്കറ്റിലെ ദി ഷോപ്പ്സ് ലെ ലെഗസി മാളിൽ ആണ്
6.wav,മഹല്ലിലെ സകാത്ത് സംവിധാനം കാര്യക്ഷമമായി ഉപയോഗപ്പെടുത്തിയാല് അവസാനിക്കുന്നതേയുള്ളൂ മഹല്ലിലെ ദാരിദ്ര്യ പ്രശ്നം
7.wav,രോഗം മൂര്ച്ഛിച്ചതിനുശേഷം മാത്രമേ ഇവര് പറയുകയുള്ളോ എന്ന ആധിയും അദ്ദേഹത്തില് വർധിച്ചുവരുന്നു
8.wav,ഒരു ഗര്ഭിണിയടക്കം അഞ്ച് വനിതകളും നാല് പുരുഷന്മാരും ഉള്പ്പെടെ ഒമ്പത് പേരാണ് ദുബായില് നിന്നെത്തിയത്
9.wav,കുടിവെള്ളക്ഷാമം നേരിടുന്ന സ്ഥലങ്ങളില് ടാങ്കര് ലോറി വാങ്ങി ജലം ശുദ്ധീകരിച്ചു വിതരണം ചെയ്യുമെന്ന പ്രഖ്യാപനവും പാളി
10.wav,ബോൾ എറിയുന്നതിന് മുൻപ് പന്ത് പറഞ്ഞത് പോലെ ആ ബോൾ ബൌണ്ടറിയായി
11.wav,നിങ്ങള് ദിവസവും കഴിക്കുന്ന ചില ആഹാരസാധനങ്ങള് തന്നെയാകും നിങ്ങളുടെ പല്ലിനെ സെന്സിറ്റിവിറ്റിയിലേക്ക് നയിക്കുന്നത്
12.wav,ഒരിക്കല് അയാള് താന് അവളുമായി പുലര്ത്തുന്ന ഉടല് ബന്ധം കുറ്റകരമായ ഒരു കാര്യമാണെന്ന് പറയാന് ഇടയായി
13.wav,ഏഷ്യയിലെ ആദ്യ അപ്പര് ആം ഡബിള് ട്രാന്സ്പ്ലാന്റേഷന് കൊച്ചി അമൃത ആശുപത്രിയില് വിജയകരമായി പൂര്ത്തിയാക്കി
14.wav,അല്പം തമാശയും ചിന്തയും ചിരിയും കലര്ന്ന വിനയ് ഫോര്ട്ടിന്റെ പ്രകടനമേന്മ തന്നെയാണ് തമാശ
15.wav,അതിനാൽ ഈ സഖാവ് ദീർഘകാലത്തേക്ക് ഒരു ന്യൂറോസിസ് മുതൽ സൌഖ്യം പ്രാപിക്കേണ്ടിവരും
16.wav,ഇത്തരത്തില് ദുരന്തങ്ങളിലകപ്പെട്ട് നഷ്ടങ്ങള് ഉണ്ടായവരെ ഈ അവസരത്തില് ഓര്ക്കുന്നെന്നും അദ്ദേഹം പറഞ്ഞു
17.wav,ജില്ലാ പഞ്ചായത്ത് നിയമപ്രകാരം ഒരിക്കല് തെരഞ്ഞെടുപ്പ് മാറ്റിവച്ചാല് ക്വാറം തികഞ്ഞില്ലെങ്കിലും തെരഞ്ഞെടുപ്പ് നടത്താന് വരണാധികാരിയായ ജില്ലാ കളക്ടര്ക്ക് അധികാരമുണ്ട്
18.wav,കര്ഷകസമരം വിശാലമായ അര്ത്ഥത്തിലുള്ള ജനകീയ പ്രക്ഷോഭണമായി രൂപാന്തരം പ്രാപിച്ചതോടെ ഗോദി
19.wav,തൃണമൂല് കോണ്ഗ്രസ് അഭിപ്രായമില്ലെന്ന് അറിയിച്ചപ്പോള് നിയമത്തില് ഭേദഗതി വരുത്തി അഭിപ്രായ സര്വ്വേകളെ നിരോധിക്കണമെന്ന് എഐഎഡിഎംകെ ആവശ്യപ്പെട്ടു
20.wav,എന്നാല് നായകന് കാര്ത്തി മറ്റൊരു ചിത്രത്തിന്റെ തിരക്കായതിനാല് ചിത്രീകരണം സെപ്തംബറിലേക്ക് മാറ്റി വച്ചിരിക്കുകയാണ്
21.wav,പിന്നെ സു സുവിസുധി വാത്മീകത്തിന്റെ ചര്ച്ചകൾക്കു വേണ്ടി രഞ്ജിത് ശങ്കർ വീട്ടിലെത്തിയപ്പോഴാണ് ഇക്കാര്യം സൂചിപ്പിച്ചത്
22.wav,ഏയ് ഓട്ടോ എന്ന ചിത്രത്തിലെ പാട്ട് ഇരുവരും രസിച്ച് പാടുന്ന വീഡിയോ ആണ് വൈറലാകുന്നത്
23.wav,ശൈഖ് സയീദ് എന്ന എത്യോപ്പിയക്കാരന് ആണ് ഇപ്പോള് മദീനയിലെ അഖവാത്തുകളുടെ നേതാവ്
24.wav,എന്നാല് കത്തുകിട്ടിയ വനംമന്ത്രി തന്റെ വകുപ്പില് തിരക്കിയപ്പോള് ഇതൊന്നും നടക്കാന് പോണില്ല സാറേ എന്നാണു മറുപടി കിട്ടിയത്
25.wav,മുല്ലപ്പെരിയാര് ഡാം പൊളിച്ച് മാറ്റി പുതിയ ഡാം സ്ഥാപിക്കണം എന്ന കേരളത്തിന്റെ ആവശ്യം കോടതി തള്ളി
26.wav,ഓസ്ട്രേലിയൻ ഓപ്പൺ കിരീടം നേടിയപ്പോൾ സൈനയ്ക്ക് കോഹ്ലി ട്വിറ്ററിലൂടെ അഭിനന്ദനം അറിയിച്ചിരുന്നു
27.wav,പുതിയ തെലുഗ് ചിത്രത്തിനായി വെല്ലുവിളികള് നിറഞ്ഞ ഒരു വേഷം കൈകാര്യം ചെയ്യാനൊരുങ്ങുകയാണ് താരം
28.wav,കോളജ് മാനേജറും കോട്ടയം അതിരൂപത സഹായ മെത്രാനുമായ മാര് ജോസഫ് പണ്ടാരശേരില് അധ്യക്ഷതവഹിച്ചു
29.wav,ഇതോടെ വിപണിയില് എത്തി ചുരുങ്ങിയ നാളുകള് കൊണ്ട് രാജ്യത്ത് ഏറ്റവും കൂടുതല് വിറ്റഴിക്കപ്പെടുന്ന ഇലക്ട്രിക്ക് സ്കൂട്ടറുകളിലൊന്നായി മാറി ആംപിയര് സീല്
30.wav,കാര്ഷിക മേഖലയുടെ വികസനത്തിനൊപ്പം പരിസ്ഥിതി സംരക്ഷണവും പ്രധാനമായി കണ്ടാണ് പ്രൊജക്ടുകള് തയ്യാറാക്കിയതെന്നും അദ്ദേഹം പറഞ്ഞു
31.wav,കുഞ്ചാക്കോ ബോബൻ നായകനാകുന്ന പുതിയ ചിത്രത്തിന്റെ ടൈറ്റിൽ പോസ്റ്റർ പുറത്ത് വിട്ടു
32.wav,റോഡ് ഷോയുടെ നീളം കൂട്ടാൻ ഇ്പ്പോഴും കോൺഗ്രസ് നേതാക്കൾ ശ്രമിക്കുന്നുണ്ട്
33.wav,അതേ പോലെ തന്നെയാണ് പിഷാരടിയും ആര്യയുമില്ലാത്ത ബംഗ്ലാവ് കാണില്ലെന്ന കടുത്ത തീരുമാനത്തിലാണ് ചിലര്
