file_name,transcript
0.wav,हालांकि चिकित्सकों ने जेसीओ की मौत हार्ट अटैक से हुई बताया है
1.wav,मैंने उनसे कभी न खत्म होने वाले गैस का सिलेंडर की विश की है
2.wav,क्योंकि लोगों को एकत्रित करने पर पंजाब सरकार की ही मनाही लगी हुई है
3.wav,साहब अब तो सब कुछ ही बदल गया है
4.wav,इनकी यह तस्वीर सोशल साइट पर काफी वायरल हुई हैं
5.wav,सूची में पहले स्थान पर हॉन्ग कॉन्ग का कॉजवे बे है
6.wav,इसी युद्ध विराम के बाद बांग्लादेश के उदय पर बातचीत शुरू हुई
7.wav,ये अपनी सटीक लाईन लेंग्थ से बल्लेबाजों को खासा परेशान करते हैं
8.wav,मेरे साथ बैठकर उसे भी हल कर दिया गया है
9.wav,गेंदबाजी में टैट का साथ लेने के लिए सिद्धार्थ त्रिवेदी और वाटसन हैं ही
10.wav,रिलीज हुआ फिल्म सब कुशल मंगल का ट्रेलर
11.wav,मुख्य रूप से के रूप में इस्तेमाल फर्नीचर बांधनेवाला पदार्थ फिटिंग
12.wav,सिंगल यूज प्लास्टिक के मामले में भी हम यही चाहते हैं
13.wav,राष्ट्रगान के समय सीट पर ही बैठे रहने वाले छात्रों की संख्या काफी कम है
14.wav,इसलिए दोबारा से टेट परीक्षा आयोजित करने का निर्देश दिया गया है
15.wav,इस प्राणायाम को करने से मन शांत रहता है
16.wav,हमने यह तय किया है कि यह कोई डायलॉग नहीं बल्कि सिर्फ एक बैठक होगी
17.wav,उसे लेने के लिए पुलिस दल आगरा भेजा गया है
18.wav,जिस कारण इस दिन को बेहद खास व पावन माना जाता है
19.wav,शिवसेना चाहे तो भी वह कांग्रेस के साथ गठबंधन नहीं कर सकती
20.wav,जो कि आशा नाम से एक एनजीओ चलाते है
21.wav,एक टीवी इंटरव्यू के दौरान अजय ने ये ऐलान किया
22.wav,टॉप वेरियंट्स में पावर विंडो और सेंट्रल लॉकिंग की सुविधा भी मिलेगी
23.wav,इस दौरान फिंच ने दो और वॉर्नर ने एक चौका लगाया है
24.wav,मूसलाधार बारिश के चलते सड़कों पर ल्हासे गिरने से सड़कों को भी नुकसान पहुंचा है
