file_name,transcript
0.wav,గతంలో స్థానిక ప్రజా ప్రతినిధులు మెట్రో రైలును పొడిగించేందుకు హామీలు ఇవ్వడంతో కోటి ఆశలు పెంచుకున్నారు
1.wav,చైర్ లో కూర్చున్న రజిని కాంత్ ని తన భార్య లత వెనుకనుండి కౌగిలించుకోగా ఒకరు ఫోటో తీశారు
2.wav,పాటల్ని లయ బద్ధంగా పాడుతూ తాళ బద్ధమైన అడుగులతో పాటలు పాడుతూ తమ శ్రమనంతా మర్చి పోయేవారు
3.wav,మరేమో ఈ రోజు మళ్లీ పారిశ్రామిక వేత్త పేరు తెరమీదకు వచ్చింది
4.wav,ఇప్పుడు శుక్రవారం రాబోయే సూర్య ఎన్జికె విశ్వక్ సేన్ ఫలక్ నుమా దాస్లు ఈ లోటుని పూడ్చాల్సి ఉంది
5.wav,గతంలో చెప్పిన విధంగా రాబోయే ఏడాదిన్నర కాలంలో భారత జట్టు అంటే నిరూపిస్తాం
6.wav,గత వారం రోజుల నుండి ఉష్ణోగ్రతల్లో మార్పులు రావడంతో చలి బాగా ఉంటోంది
7.wav,రవితేజ రెగ్యులర్ సినిమా బడ్జెట్ లో సగం కూడా లేకుండా ఈ సినిమా రూపొందబోతోందని వినికిడి
8.wav,ఈ డిమాండుకు దేశంలోని అనేక ఇతర పార్టీల మద్దతును కూడా కూడగట్టడానికి చంద్రబాబు ప్రయత్నిస్తున్నారు
9.wav,విజయ్ దేవరకొండ కథ విని ఓకే చెప్పడంతో సినిమా త్వరలోనే పట్టాలెక్కేందుకు సిద్దం అవుతుంది
10.wav,ప్రకాశం జిల్లాలో కొనసాగిస్తున్న ఓదార్పు యాత్రలో భాగంగా వెలిగండ్ల మండలంలో ఆయన కీలక ప్రసంగం చేశారు
11.wav,ఈ కొలతలు బుష్ ఆకుకూరలు లోకి అనుమతించకుండా మరియు తద్వారా పరిపక్వత నెమ్మదిగా అనుమతించదు
12.wav,మాధవీకన్య ఇలా చెప్పగానే గాలవుడు ఆమెను తీసుకొని వెళ్ళి హర్యశ్వ మహారాజుతో ఇలా అన్నాడు
